company,title,date,status,link,source
资环集团,义乌市资源循环集团有限公司2026年度环卫车辆采购项目(第6标段)废标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001006/20260310/3fead17f-ae2b-40b2-90ce-03e72f4ad710.html,enterprise_purchase
陆港集团,义乌保税物流中心有限公司义乌跨境电子商务协同支撑平台建设项目运维服务采购项目 单一来源采购中标公示,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002005/20260310/083c1e9f-e815-41c2-a590-7e79664b31f3.html,enterprise_purchase
交旅集团,义乌市公路建设开发有限公司2026--2027年钢材供应商入库项目（第二次）流标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001006/20260310/acada535-4619-4778-b166-d7342538898f.html,enterprise_purchase
商城集团,义乌中国小商品城大数据有限公司数字化运营采购项目（一期）中标公告,2026-03-10,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002005/20260310/f4cbd261-a624-4e47-b614-d81c2e814212.html,enterprise_purchase
国资运营公司,义乌市国有资本运营有限公司境外主体评级服务采购项目单一来源采购公示,2026-03-09,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260309/f0f4385e-5bb8-4496-bc6d-e61444aa7669.html,enterprise_purchase
国资运营公司,义乌市国有资本运营有限公司境外主体评级服务采购项目单一来源采购公示,2026-03-09,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260309/0222f777-1c24-4677-8296-f7e74b8357cb.html,enterprise_purchase
国资运营公司,义乌市国有资本运营有限公司境外主体评级服务采购项目单一来源采购公示,2026-03-09,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260309/b4520f7b-6f1a-4d89-bdac-f419f9266f07.html,enterprise_purchase
资环集团,浙江义环城市服务有限公司2026年4座转运站改造设备更新采购项目招标公告,2026-03-09,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001001/20260309/a22b872d-6d35-4d20-959a-8ebba3b6ed21.html,enterprise_purchase
产投集团,浙江义欣新能源动力电池生产基地项目PDM09-CTP线设备采购公告,2026-03-09,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001001/20260309/404bb02e-67c4-4df4-91e0-34cfdc08b436.html,enterprise_purchase
城投集团,义乌大剧院专业技术咨询服务采购项目,2026-03-09,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260309/c84a0e3e-ef9b-4121-b3b4-bd6494ffa7cd.html,enterprise_purchase
